avg_eng,hashtags,max_eng,min_eng,n_posts,# of posts
561512.6624203821,#nbafinals,909585,213824,157,1662807.0
722540.0,#gatoradezero,722540,722540,1,870.0
517760.52881355933,#nbaplayoffs,954448,198217,590,1500448.0
363438.4864864865,#tripledoublealert,729066,281503,111,2898.0
590180.0,#powerbeatspro,775600,404760,2,1674.0
563701.0,#legendarymoments,833726,357280,13,7852.0
618668.6948051949,#nbabreakdown,890873,412240,154,3573.0
438375.5675675676,#nbaawards,807274,251554,37,39642.0
624522.75,#nbacombine,690297,471492,8,3166.0
569828.6666666666,#nbaplaymakers,757785,471492,3,441.0
645666.6722689075,#phantomcam,838340,383348,119,16016.0
673875.5,#mtndew3pt,919846,370338,10,737.0
491971.925,#tissotbuzzerbeater,867299,222692,40,903.0
539815.463768116,#thisisyourtime,969426,185328,69,35142.0
486607.0,#nbadraftlottery,676692,410020,4,9904.0
490655.44,#nbakicks,1003437,239843,75,93983.0
641716.0384615385,#statefarmassists,805740,541616,26,156.0
602840.0,#elitecamp,602840,602840,1,7589.0
654759.1797752809,#nbaonabc,1010320,312076,267,21054.0
417445.25,#nbacelebrow,701481,275016,12,340.0
623919.3333333334,#heretocreate,676211,568370,3,611373.0
408676.11363636365,#nbabday,981694,223230,88,8145.0
347215.0,#nationalsuperheroday,347215,347215,1,46007.0
599503.0,#becausesneakers,673514,544112,5,11332.0
559021.25,#gamechangers,798054,251265,8,273263.0
615406.375,#budweiserlegendarymoments,725106,317545,8,33.0
482399.4,#nbagleague,681822,255601,5,20453.0
314240.3333333333,#gleaguefinals,608852,177134,9,516.0
778538.0,#mobil1blocks,896044,664464,4,31.0
498347.02898550726,#nbarooks,885563,239333,69,6999.0
580615.3684210526,#kiarotm,618409,524175,19,279.0
631297.85,#kiapotm,823354,492786,20,373.0
506382.6666666667,#wnbadraft,621150,325550,3,3583.0
606982.3333333334,#onelastdance,856037,263821,72,73016.0
319386.0,#wadecounty,374951,263821,2,109667.0
518825.0,#l3gacy,682153,263821,5,9521.0
491930.5,#thankyouchanning,734970,248891,2,317.0
